"","country","year","gdp","pop","transport.emissions","lgdp","lpop","ltransport.emissions","const","L1.ltransport.emissions","L1.lgdp","L1.lpop","lgdp_sq","transport.emissions_pc","ltransport.emissions_pc","L1.ltransport.emissions_pc","lgdp_EU15","lgdp_EU16","lgdpsq_EU15","lgdpsq_EU16","lpop_EU15","lpop_EU16"
"445","Spain",2013,1347820738370.52,46620045,74254.33655,27.9295101361709,17.6575411568224,11.2152514596733,1,11.164355761133,27.9439680931409,17.6608178472182,780.057536446473,0.00159275557434576,-6.44228969714912,-6.49646208608515,27.9295101361709,0,780.057536446473,0,17.6575411568224,0
"446","Spain",2014,1366473336621.79,46480882,75101.189853,27.9432543299557,17.6545516462315,11.2265916812086,1,11.2152514596733,27.9295101361709,17.6575411568224,780.825462548588,0.00161574364817346,-6.4279599650229,-6.44228969714912,27.9432543299557,0,780.825462548588,0,17.6545516462315,0
"447","Spain",2015,1418879948438.72,46444832,78311.32425,27.9808889075949,17.6537757576156,11.2684474979583,1,11.2265916812086,27.9432543299557,17.6545516462315,782.930144059167,0.00168611492124678,-6.38532825965732,-6.4279599650229,27.9808889075949,0,782.930144059167,0,17.6537757576156,0
"448","Spain",2016,1461890475184.29,46484062,80412.3377583443,28.0107515600753,17.6546200591163,11.2949228980999,1,11.2684474979583,27.9808889075949,17.6537757576156,784.602202960261,0.00172989051082378,-6.35969716101642,-6.38532825965732,28.0107515600753,0,784.602202960261,0,17.6546200591163,0
"449","Spain",2017,1504164957709.71,46593236,80857.9683713321,28.0392590147701,17.656965938346,11.3004494176173,1,11.2949228980999,28.0107515600753,17.6546200591163,786.200046097366,0.00173540142975543,-6.35651652072864,-6.35969716101642,28.0392590147701,0,786.200046097366,0,17.656965938346,0
"450","Spain",2018,1539527998175.21,46797754,82738.4064070822,28.0624969906836,17.6613457682833,11.3234391795819,1,11.3004494176173,28.0392590147701,17.656965938346,787.503737352126,0.00176799951568364,-6.33790658870131,-6.35651652072864,28.0624969906836,0,787.503737352126,0,17.6613457682833,0
"451","Estonia",1969,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Estonia",1970,NA,NA,748.041617,NA,NA,6.61745861412729,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Estonia",1971,NA,1376955,748.0412307,NA,14.1353850974382,6.61745809771204,1,6.61745861412729,NA,NA,NA,0.000543257572469689,-7.51792699972619,NA,NA,NA,NA,NA,0,14.1353850974382
"454","Estonia",1972,NA,1392518,820.9450625,NA,14.1466241770914,6.71045619186636,1,6.61745809771204,NA,14.1353850974382,NA,0.000589540000560136,-7.43616798522505,-7.51792699972619,NA,NA,NA,NA,0,14.1466241770914
"455","Estonia",1973,NA,1405951,891.0355586,NA,14.1562245001053,6.79238433531646,1,6.71045619186636,NA,14.1466241770914,NA,0.000633760037583102,-7.36384016478888,-7.43616798522505,NA,NA,NA,NA,0,14.1562245001053
"456","Estonia",1974,NA,1418169,973.9878079,NA,14.164877160919,6.88139878600772,1,6.79238433531646,NA,14.1562245001053,NA,0.000686792482348719,-7.28347837491129,-7.36384016478888,NA,NA,NA,NA,0,14.164877160919
"457","Estonia",1975,NA,1429352,1074.5766,NA,14.1727317526809,6.97968200251324,1,6.88139878600772,NA,14.164877160919,NA,0.00075179284039201,-7.19304975016764,-7.28347837491129,NA,NA,NA,NA,0,14.1727317526809
"458","Estonia",1976,NA,1439576,1158.547942,NA,14.1798591837505,7.0549227258388,1,6.97968200251324,NA,14.1727317526809,NA,0.00080478414616526,-7.12493645791166,-7.19304975016764,NA,NA,NA,NA,0,14.1798591837505
"459","Estonia",1977,NA,1450211,1178.045478,NA,14.1872196210515,7.07161196957839,1,7.0549227258388,NA,14.1798591837505,NA,0.000812326949664566,-7.11560765147314,-7.12493645791166,NA,NA,NA,NA,0,14.1872196210515
"460","Estonia",1978,NA,1460188,1205.9782438,NA,14.194075752518,7.09504633715758,1,7.07161196957839,NA,14.1872196210515,NA,0.000825906146194874,-7.09902941536046,-7.11560765147314,NA,NA,NA,NA,0,14.194075752518
"461","Estonia",1979,NA,1468333,1251.3696189,NA,14.1996383016695,7.13199392558057,1,7.09504633715758,NA,14.194075752518,NA,0.000852238299418456,-7.06764437608896,-7.09902941536046,NA,NA,NA,NA,0,14.1996383016695
"462","Estonia",1980,NA,1477219,1348.02406,NA,14.2056718240495,7.20639513997765,1,7.13199392558057,NA,14.1996383016695,NA,0.000912541782904227,-6.99927668407185,-7.06764437608896,NA,NA,NA,NA,0,14.2056718240495
"463","Estonia",1981,NA,1487666,1346.476655,NA,14.2127190068141,7.20524657455958,1,7.20639513997765,NA,14.2056718240495,NA,0.000905093384536583,-7.00747243225455,-6.99927668407185,NA,NA,NA,NA,0,14.2127190068141
"464","Estonia",1982,NA,1498414,1338.707041,NA,14.2199177733679,7.19945953235821,1,7.20524657455958,NA,14.2127190068141,NA,0.000893415999183136,-7.02045824100968,-7.00747243225455,NA,NA,NA,NA,0,14.2199177733679
"465","Estonia",1983,NA,1508745,1312.03948,NA,14.2267887373867,7.17933806051471,1,7.19945953235821,NA,14.2199177733679,NA,0.000869623084086443,-7.04745067687202,-7.02045824100968,NA,NA,NA,NA,0,14.2267887373867
"466","Estonia",1984,NA,1518617,1294.999636,NA,14.2333106102199,7.16626569305252,1,7.17933806051471,NA,14.2267887373867,NA,0.000852749334427311,-7.06704491716736,-7.04745067687202,NA,NA,NA,NA,0,14.2333106102199
"467","Estonia",1985,NA,1528781,1293.031366,NA,14.2399812437828,7.16474463679163,1,7.16626569305252,NA,14.2333106102199,NA,0.000845792409769614,-7.0752366069912,-7.06704491716736,NA,NA,NA,NA,0,14.2399812437828
"468","Estonia",1986,NA,1540190,1380.474065,NA,14.2474163434029,7.23018224452224,1,7.16474463679163,NA,14.2399812437828,NA,0.000896301147910323,-7.01723409888068,-7.0752366069912,NA,NA,NA,NA,0,14.2474163434029
"469","Estonia",1987,NA,1552221,1417.44243,NA,14.255197366495,7.25660942102053,1,7.23018224452224,NA,14.2474163434029,NA,0.000913170502138549,-6.99858794547451,-7.01723409888068,NA,NA,NA,NA,0,14.255197366495
"470","Estonia",1988,NA,1561900,1437.292574,NA,14.2614135868458,7.27051646591196,1,7.25660942102053,NA,14.255197366495,NA,0.000920220612075037,-6.99089712093385,-6.99858794547451,NA,NA,NA,NA,0,14.2614135868458
"471","Estonia",1989,NA,1568131,1476.46533,NA,14.2653950223211,7.29740621970274,1,7.27051646591196,NA,14.2614135868458,NA,0.000941544634982664,-6.96798880261836,-6.99089712093385,NA,NA,NA,NA,0,14.2653950223211
"472","Estonia",1990,NA,1569174,2166.35938,NA,14.2660599242279,7.68080333254217,1,7.29740621970274,NA,14.2653950223211,NA,0.0013805730785751,-6.58525659168576,-6.96798880261836,NA,NA,NA,NA,0,14.2660599242279
"473","Estonia",1991,NA,1561314,1978.64469,NA,14.261038332376,7.5901673893115,1,7.68080333254217,NA,14.2660599242279,NA,0.00126729452883917,-6.67087094306448,-6.58525659168576,NA,NA,NA,NA,0,14.261038332376
"474","Estonia",1992,NA,1533091,949.40556,NA,14.2427965168228,6.85583606243038,1,7.5901673893115,NA,14.261038332376,NA,0.000619275411570481,-7.38696045439238,-6.67087094306448,NA,NA,NA,NA,0,14.2427965168228
"475","Estonia",1993,10074197508.2881,1494128,1026.72128,23.033243289824,14.2170533170424,6.93412578068991,1,6.85583606243038,NA,14.2427965168228,530.530296448222,0.000687170898343382,-7.28292753635249,-7.38696045439238,0,23.033243289824,0,530.530296448222,0,14.2170533170424
"476","Estonia",1994,9908736414.61985,1462514,1259.43089,23.0166826710659,14.1956674306919,7.13841522330665,1,6.93412578068991,23.033243289824,14.2170533170424,529.767681180545,0.000861141083093906,-7.05725220738525,-7.28292753635249,0,23.0166826710659,0,529.767681180545,0,14.1956674306919
"477","Estonia",1995,10357273391.2397,1436634,1264.3699,23.0609548529644,14.1778134353343,7.14232917430043,1,7.13841522330665,23.0166826710659,14.1956674306919,531.807638730462,0.000880091867518101,-7.03548426103386,-7.05725220738525,0,23.0609548529644,0,531.807638730462,0,14.1778134353343
"478","Estonia",1996,10868505359.8363,1415594,1374.8167198,23.1091350272303,14.163059788959,7.22607570652524,1,7.14232917430043,23.0609548529644,14.1778134353343,534.032121706762,0.000971194226451935,-6.93698408243378,-7.03548426103386,0,23.1091350272303,0,534.032121706762,0,14.163059788959
"479","Estonia",1997,12286468804.9549,1399535,1435.121967,23.2317643966156,14.1516505965567,7.26900511900699,1,7.22607570652524,23.1091350272303,14.163059788959,539.714876979856,0.00102542770777437,-6.8826454775497,-6.93698408243378,0,23.2317643966156,0,539.714876979856,0,14.1516505965567
"480","Estonia",1998,12818509182.5135,1386156,1496.63093,23.2741559932614,14.1420450065108,7.31097181427755,1,7.26900511900699,23.2317643966156,14.1516505965567,541.686337198665,0.00107969877127827,-6.83107319223325,-6.8826454775497,0,23.2741559932614,0,541.686337198665,0,14.1420450065108
